timestamp,event_id,shelf_name,event_type,item_count,frame_number,evidence_filename,details
2026-07-27 20:52:37,Upper_Shelf_NORMAL_1147,Upper_Shelf,NORMAL,3,1147,shelf_Upper_Shelf_NORMAL_20260727_205237_frame_1147.jpg,Stock transitioned from LOW_STOCK to NORMAL. Count: 3 items.
2026-07-27 20:52:38,Lower_Shelf_NORMAL_1153,Lower_Shelf,NORMAL,3,1153,shelf_Lower_Shelf_NORMAL_20260727_205238_frame_1153.jpg,Stock transitioned from LOW_STOCK to NORMAL. Count: 3 items.
2026-07-27 20:52:38,Upper_Shelf_LOW_STOCK_1166,Upper_Shelf,LOW_STOCK,2,1166,shelf_Upper_Shelf_LOW_STOCK_20260727_205238_frame_1166.jpg,Stock transitioned from NORMAL to LOW_STOCK. Count: 2 items.
2026-07-27 20:52:39,Lower_Shelf_FULLY_STOCKED_1173,Lower_Shelf,FULLY_STOCKED,4,1173,shelf_Lower_Shelf_FULLY_STOCKED_20260727_205239_frame_1173.jpg,Stock transitioned from NORMAL to FULLY_STOCKED. Count: 4 items.
2026-07-27 20:52:40,Lower_Shelf_NORMAL_1191,Lower_Shelf,NORMAL,3,1191,shelf_Lower_Shelf_NORMAL_20260727_205240_frame_1191.jpg,Stock transitioned from FULLY_STOCKED to NORMAL. Count: 3 items.
2026-07-27 20:52:40,Lower_Shelf_FULLY_STOCKED_1194,Lower_Shelf,FULLY_STOCKED,4,1194,shelf_Lower_Shelf_FULLY_STOCKED_20260727_205240_frame_1194.jpg,Stock transitioned from NORMAL to FULLY_STOCKED. Count: 4 items.
2026-07-27 20:52:41,Lower_Shelf_NORMAL_1209,Lower_Shelf,NORMAL,3,1209,shelf_Lower_Shelf_NORMAL_20260727_205241_frame_1209.jpg,Stock transitioned from FULLY_STOCKED to NORMAL. Count: 3 items.
2026-07-27 20:52:41,Upper_Shelf_NORMAL_1213,Upper_Shelf,NORMAL,3,1213,shelf_Upper_Shelf_NORMAL_20260727_205241_frame_1213.jpg,Stock transitioned from LOW_STOCK to NORMAL. Count: 3 items.
2026-07-27 20:52:41,Lower_Shelf_FULLY_STOCKED_1213,Lower_Shelf,FULLY_STOCKED,4,1213,shelf_Lower_Shelf_FULLY_STOCKED_20260727_205241_frame_1213.jpg,Stock transitioned from NORMAL to FULLY_STOCKED. Count: 4 items.
2026-07-27 20:52:41,Lower_Shelf_LOW_STOCK_1214,Lower_Shelf,LOW_STOCK,2,1214,shelf_Lower_Shelf_LOW_STOCK_20260727_205241_frame_1214.jpg,Stock transitioned from FULLY_STOCKED to LOW_STOCK. Count: 2 items.
2026-07-27 20:52:42,Upper_Shelf_LOW_STOCK_1216,Upper_Shelf,LOW_STOCK,2,1216,shelf_Upper_Shelf_LOW_STOCK_20260727_205242_frame_1216.jpg,Stock transitioned from NORMAL to LOW_STOCK. Count: 2 items.
2026-07-27 20:52:42,Upper_Shelf_NORMAL_1228,Upper_Shelf,NORMAL,3,1228,shelf_Upper_Shelf_NORMAL_20260727_205242_frame_1228.jpg,Stock transitioned from LOW_STOCK to NORMAL. Count: 3 items.
2026-07-27 20:52:42,Lower_Shelf_EMPTY_1228,Lower_Shelf,EMPTY,0,1228,shelf_Lower_Shelf_EMPTY_20260727_205242_frame_1228.jpg,Stock transitioned from LOW_STOCK to EMPTY. Count: 0 items.
2026-07-27 20:52:42,Lower_Shelf_LOW_STOCK_1229,Lower_Shelf,LOW_STOCK,1,1229,shelf_Lower_Shelf_LOW_STOCK_20260727_205242_frame_1229.jpg,Stock transitioned from EMPTY to LOW_STOCK. Count: 1 items.
2026-07-27 20:52:43,Upper_Shelf_LOW_STOCK_1233,Upper_Shelf,LOW_STOCK,2,1233,shelf_Upper_Shelf_LOW_STOCK_20260727_205243_frame_1233.jpg,Stock transitioned from NORMAL to LOW_STOCK. Count: 2 items.
2026-07-27 20:52:43,Upper_Shelf_NORMAL_1243,Upper_Shelf,NORMAL,3,1243,shelf_Upper_Shelf_NORMAL_20260727_205243_frame_1243.jpg,Stock transitioned from LOW_STOCK to NORMAL. Count: 3 items.
2026-07-27 20:52:44,Lower_Shelf_EMPTY_1247,Lower_Shelf,EMPTY,0,1247,shelf_Lower_Shelf_EMPTY_20260727_205244_frame_1247.jpg,Stock transitioned from LOW_STOCK to EMPTY. Count: 0 items.
2026-07-27 20:52:44,Upper_Shelf_FULLY_STOCKED_1250,Upper_Shelf,FULLY_STOCKED,4,1250,shelf_Upper_Shelf_FULLY_STOCKED_20260727_205244_frame_1250.jpg,Stock transitioned from NORMAL to FULLY_STOCKED. Count: 4 items.
2026-07-27 20:52:44,Lower_Shelf_LOW_STOCK_1254,Lower_Shelf,LOW_STOCK,1,1254,shelf_Lower_Shelf_LOW_STOCK_20260727_205244_frame_1254.jpg,Stock transitioned from EMPTY to LOW_STOCK. Count: 1 items.
2026-07-27 20:52:45,Lower_Shelf_NORMAL_1266,Lower_Shelf,NORMAL,3,1266,shelf_Lower_Shelf_NORMAL_20260727_205245_frame_1266.jpg,Stock transitioned from LOW_STOCK to NORMAL. Count: 3 items.
2026-07-27 20:52:45,Lower_Shelf_LOW_STOCK_1270,Lower_Shelf,LOW_STOCK,2,1270,shelf_Lower_Shelf_LOW_STOCK_20260727_205245_frame_1270.jpg,Stock transitioned from NORMAL to LOW_STOCK. Count: 2 items.
2026-07-27 20:52:45,Lower_Shelf_FULLY_STOCKED_1273,Lower_Shelf,FULLY_STOCKED,4,1273,shelf_Lower_Shelf_FULLY_STOCKED_20260727_205245_frame_1273.jpg,Stock transitioned from LOW_STOCK to FULLY_STOCKED. Count: 4 items.
2026-07-27 20:52:46,Upper_Shelf_NORMAL_1279,Upper_Shelf,NORMAL,3,1279,shelf_Upper_Shelf_NORMAL_20260727_205246_frame_1279.jpg,Stock transitioned from FULLY_STOCKED to NORMAL. Count: 3 items.
2026-07-27 20:52:46,Upper_Shelf_LOW_STOCK_1280,Upper_Shelf,LOW_STOCK,1,1280,shelf_Upper_Shelf_LOW_STOCK_20260727_205246_frame_1280.jpg,Stock transitioned from NORMAL to LOW_STOCK. Count: 1 items.
2026-07-27 20:52:47,Upper_Shelf_EMPTY_1298,Upper_Shelf,EMPTY,0,1298,shelf_Upper_Shelf_EMPTY_20260727_205247_frame_1298.jpg,Stock transitioned from LOW_STOCK to EMPTY. Count: 0 items.
2026-07-27 20:52:47,Upper_Shelf_LOW_STOCK_1305,Upper_Shelf,LOW_STOCK,2,1305,shelf_Upper_Shelf_LOW_STOCK_20260727_205247_frame_1305.jpg,Stock transitioned from EMPTY to LOW_STOCK. Count: 2 items.
2026-07-27 20:52:48,Lower_Shelf_NORMAL_1315,Lower_Shelf,NORMAL,3,1315,shelf_Lower_Shelf_NORMAL_20260727_205248_frame_1315.jpg,Stock transitioned from FULLY_STOCKED to NORMAL. Count: 3 items.
2026-07-27 20:52:48,Lower_Shelf_LOW_STOCK_1316,Lower_Shelf,LOW_STOCK,2,1316,shelf_Lower_Shelf_LOW_STOCK_20260727_205248_frame_1316.jpg,Stock transitioned from NORMAL to LOW_STOCK. Count: 2 items.
2026-07-27 20:52:48,Upper_Shelf_CUSTOMER_INTERACTION_END_1317,Upper_Shelf,CUSTOMER_INTERACTION_END,2,1317,shelf_Upper_Shelf_CUSTOMER_INTERACTION_END_20260727_205248_frame_1317.jpg,Customer left shelf. No stock levels changed.
