Frame,Timestamp,Raw Occupancy (%),Smoothed Occupancy (%),Traffic Level,Vehicles in ROI
168,2026-07-12 15:26:17.075,0.0,0.0,Low,0
169,2026-07-12 15:26:17.166,0.0,0.0,Low,0
170,2026-07-12 15:26:17.258,0.0,0.0,Low,0
171,2026-07-12 15:26:17.346,0.0,0.0,Low,0
172,2026-07-12 15:26:17.431,0.0,0.0,Low,0
173,2026-07-12 15:26:17.589,0.0,0.0,Low,0
174,2026-07-12 15:26:17.679,0.0,0.0,Low,0
175,2026-07-12 15:26:17.773,0.0,0.0,Low,0
176,2026-07-12 15:26:17.863,0.0,0.0,Low,0
177,2026-07-12 15:26:17.947,0.0,0.0,Low,0
178,2026-07-12 15:26:18.036,0.0,0.0,Low,0
179,2026-07-12 15:26:18.123,0.0,0.0,Low,0
180,2026-07-12 15:26:18.207,0.0,0.0,Low,0
181,2026-07-12 15:26:18.290,0.0,0.0,Low,0
182,2026-07-12 15:26:18.378,0.0,0.0,Low,0
183,2026-07-12 15:26:18.466,0.0,0.0,Low,0
184,2026-07-12 15:26:18.557,0.0,0.0,Low,0
185,2026-07-12 15:26:18.644,0.0,0.0,Low,0
186,2026-07-12 15:26:18.728,0.0,0.0,Low,0
187,2026-07-12 15:26:18.816,0.0,0.0,Low,0
188,2026-07-12 15:26:18.901,0.0,0.0,Low,0
189,2026-07-12 15:26:18.984,0.0,0.0,Low,0
190,2026-07-12 15:26:19.071,0.0,0.0,Low,0
191,2026-07-12 15:26:19.158,0.0,0.0,Low,0
192,2026-07-12 15:26:19.242,0.0,0.0,Low,0
193,2026-07-12 15:26:19.332,0.0,0.0,Low,0
194,2026-07-12 15:26:19.417,0.0,0.0,Low,0
195,2026-07-12 15:26:19.508,0.0,0.0,Low,0
196,2026-07-12 15:26:19.598,0.0,0.0,Low,0
197,2026-07-12 15:26:19.687,0.0,0.0,Low,0
198,2026-07-12 15:26:19.773,0.0,0.0,Low,0
199,2026-07-12 15:26:19.862,0.0,0.0,Low,0
200,2026-07-12 15:26:19.967,4.31,0.29,Low,1
201,2026-07-12 15:26:20.055,0.0,0.29,Low,0
202,2026-07-12 15:26:20.138,0.0,0.29,Low,0
203,2026-07-12 15:26:20.227,0.0,0.29,Low,0
204,2026-07-12 15:26:20.318,0.0,0.29,Low,0
205,2026-07-12 15:26:20.407,0.0,0.29,Low,0
206,2026-07-12 15:26:20.492,0.0,0.29,Low,0
207,2026-07-12 15:26:20.587,59.9,4.28,Low,1
208,2026-07-12 15:26:20.677,0.0,4.28,Low,0
209,2026-07-12 15:26:20.774,0.0,4.28,Low,0
210,2026-07-12 15:26:20.903,0.0,4.28,Low,0
211,2026-07-12 15:26:20.991,0.0,4.28,Low,0
212,2026-07-12 15:26:21.075,0.0,4.28,Low,0
213,2026-07-12 15:26:21.164,0.0,4.28,Low,0
214,2026-07-12 15:26:21.251,0.0,4.28,Low,0
215,2026-07-12 15:26:21.339,0.0,3.99,Low,0
216,2026-07-12 15:26:21.424,0.0,3.99,Low,0
217,2026-07-12 15:26:21.514,0.0,3.99,Low,0
218,2026-07-12 15:26:21.603,0.0,3.99,Low,0
219,2026-07-12 15:26:21.687,0.0,3.99,Low,0
220,2026-07-12 15:26:21.779,0.0,3.99,Low,0
221,2026-07-12 15:26:21.901,0.0,3.99,Low,0
222,2026-07-12 15:26:21.999,0.0,0.0,Low,0
223,2026-07-12 15:26:22.182,0.0,0.0,Low,0
224,2026-07-12 15:26:22.265,0.0,0.0,Low,0
225,2026-07-12 15:26:22.379,0.0,0.0,Low,0
226,2026-07-12 15:26:22.500,0.0,0.0,Low,0
227,2026-07-12 15:26:22.598,11.42,0.76,Low,1
228,2026-07-12 15:26:22.689,0.0,0.76,Low,0
229,2026-07-12 15:26:22.786,0.0,0.76,Low,0
